,Client,Product Code,Description,May-17,Apr-17,Mar-17,Feb-17,Jan-17,Dec-16,Nov-16,Oct-16,Sep-16,Aug-16,Jul-16,Jun-16,Total Out,Avg/Wk,Current SOH,Weeks Cover,Forecasted Values:
41,P2C,BASIC-NVY-L,Tall Tee - Navy Blue Size L (Each),165,133,84,76,133,148,0,0,0,40,15,13,807,15.5,51,3.3,417
42,P2C,BASIC-NVY-M,Tall Tee - Navy Blue Size M (Each),78,49,81,63,59,53,0,0,0,6,3,11,403,7.8,139,17.9,56
43,P2C,BASIC-NVY-S,Tall Tee - Navy Blue Size S (Each),5,10,1,0,0,0,0,0,0,0,0,0,16,0.3,0,0,15
44,P2C,BASIC-NVY-XL,Tall Tee - Navy Blue Size XL (Each),73,86,93,70,81,86,0,0,0,0,0,0,489,9.4,0,0,237
45,P2C,BASIC-NVY-XXL,Tall Tee - Navy Blue Size XXL (Each),62,10,49,2,21,70,0,0,0,0,0,0,214,4.1,8,1.9,70
46,P2C,BASIC-NVY-XXXL,Tall Tee - Navy Blue Size XXXL (Each),44,10,0,0,0,40,0,0,0,0,0,0,94,1.8,0,0,126
47,P2C,BASIC-PIN-L,Tall Tee - Pink Size L (Each),0,0,0,16,15,0,0,0,0,0,0,0,31,0.6,0,0,15
48,P2C,BASIC-PIN-M,Tall Tee - Pink Size M (Each),0,0,0,18,14,0,0,0,0,0,0,0,32,0.6,0,0,15
49,P2C,BASIC-PIN-XL,Tall Tee - Pink Size XL (Each),0,0,0,9,10,0,0,0,0,0,0,0,19,0.4,0,0,15
50,P2C,BASIC-PIN-XXL,Tall Tee - Pink Size XXL (Each),0,0,0,0,9,0,0,0,0,0,0,0,9,0.2,0,0,15
51,P2C,BASIC-PINK-L,Tall Tee - Pink Size L (Each),47,3,0,0,0,0,0,0,0,0,0,0,50,1.0,0,0,0
52,P2C,BASIC-PINK-M,Tall Tee - Pink Size M (Each),26,0,0,0,0,0,0,0,0,0,0,0,26,0.5,22,44.0,0
53,P2C,BASIC-PINK-XL,Tall Tee - Pink Size XL (Each),25,0,0,0,0,0,0,0,0,0,0,0,25,0.5,21,43.7,0
54,P2C,BASIC-PINK-XXL,Tall Tee - Pink Size XXL (Each),22,0,0,0,0,0,0,0,0,0,0,0,22,0.4,20,47.3,0
55,P2C,BASIC-STO-L,Tall Tee - Stone Size L (Each),144,40,85,0,4,80,0,0,0,0,0,0,353,6.8,68,10.0,268
56,P2C,BASIC-STO-M,Tall Tee - Stone Size M (Each),88,21,71,0,0,40,0,0,0,0,0,0,220,4.2,42,9.9,150
57,P2C,BASIC-STO-S,Tall Tee - Stone Size S (Each),0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,15
58,P2C,BASIC-STO-XL,Tall Tee - Stone Size XL (Each),82,7,81,0,1,41,0,0,0,0,0,0,212,4.1,55,13.5,128
59,P2C,BASIC-STO-XXL,Tall Tee - Stone Size XXL (Each),51,1,48,1,0,40,0,0,0,0,0,0,141,2.7,29,10.7,106
60,P2C,BASIC-STO-XXXL,Tall Tee - Stone Size XXxL (Each),0,1,42,0,0,0,0,0,0,0,0,0,43,0.8,0,0,15
61,P2C,BASIC-TAN-L,Tall Tee - Tan Size L (Each),190,54,100,0,0,0,0,0,0,0,0,0,344,6.6,60,9.1,0
62,P2C,BASIC-TAN-M,Tall Tee - Tan Size M (Each),120,60,46,0,0,0,0,0,0,0,0,0,226,4.3,8,1.8,0
63,P2C,BASIC-TAN-S,Tall Tee - Tan Size S (Each),1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,3
64,P2C,BASIC-TAN-XL,Tall Tee - Tan Size XL (Each),98,55,58,0,0,0,0,0,0,0,0,3,214,4.1,23,5.6,0
65,P2C,BASIC-TAN-XXL,Tall Tee - Tan Size XXL (Each),11,37,47,0,0,0,0,0,0,0,0,0,95,1.8,0,0,0
66,P2C,BASIC-TAN-XXXL,Tall Tee - Tan Size XXXL (Each),1,18,24,0,0,0,0,0,0,0,0,0,43,0.8,0,0,3
67,P2C,BASIC-WHI-L,Tall Tee - White Size L (Each),295,233,255,170,233,392,60,47,49,41,91,72,1938,37.3,57,1.5,972
68,P2C,BASIC-WHI-M,Tall Tee - White Size M (Each),186,119,186,107,142,234,49,47,5,89,67,60,1291,24.8,508,20.5,122
69,P2C,BASIC-WHI-S,Tall Tee - White Size S (Each),0,0,0,20,44,44,4,0,0,4,24,13,153,2.9,0,0,44
70,P2C,BASIC-WHI-XL,Tall Tee - White Size XL (Each),166,131,147,87,143,223,44,11,42,65,52,55,1166,22.4,27,1.2,555
71,P2C,BASIC-WHI-XS,Tall Tee - White Size XS (Each),1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,53,"2,756.0",0
72,P2C,BASIC-WHI-XXL,Tall Tee - White Size XXL (Each),75,49,83,52,16,79,20,20,27,44,28,34,527,10.1,321,31.7,0
73,P2C,BASIC-WHI-XXXL,Tall Tee - White Size XXXL (Each),50,12,45,0,9,15,0,0,0,0,2,9,142,2.7,0,0,96
74,P2C,BBQ-BLA-L,BBQ print - Black Size L (EACH),21,7,3,1,3,25,22,0,0,0,0,0,82,1.6,0,0,69
75,P2C,BBQ-BLA-M,BBQ print - Black Size M (EACH),2,1,2,1,3,17,12,0,0,0,0,0,38,0.7,14,19.2,17
76,P2C,BBQ-BLA-XL,BBQ print - Black Size XL (EACH),3,9,3,4,6,12,14,0,0,0,0,0,51,1.0,0,0,12
77,P2C,BBQ-BLA-XXL,BBQ print - Black Size XXL (EACH),0,0,3,1,4,3,11,0,0,0,0,0,22,0.4,0,0,9
78,P2C,BBQ-MUS-L,BBQ print - Muscle Tee Size L (EACH),0,7,19,9,4,2,0,0,0,0,0,0,41,0.8,0,0,6
79,P2C,BBQ-MUS-M,BBQ print - Muscle Tee Size M (EACH),0,0,3,9,10,5,0,0,0,0,0,0,27,0.5,0,0,15
80,P2C,BBQ-MUS-XL,BBQ print - Muscle Tee Size XL (EACH),0,0,10,5,6,2,0,0,0,0,0,0,23,0.4,0,0,6
81,P2C,BBQ-MUS-XXL,BBQ print - Muscle Tee Size XXL (EACH),0,0,1,1,8,0,0,0,0,0,0,0,10,0.2,0,0,15
82,P2C,BEANIE-AG-PATCH,Army Green Beanie (EACH),18,0,0,0,0,0,0,0,0,0,0,0,18,0.3,75,216.7,0
83,P2C,BEANIE-BLA-PATCH,Black Beanie (EACH),22,0,0,0,0,0,0,0,0,0,0,0,22,0.4,211,498.7,0
84,P2C,BEANIE-GRA-PATCH,Grey Beanie (EACH),10,0,0,0,0,0,0,1,10,69,21,0,111,2.1,223,104.5,0
85,P2C,BWR+2-TEE-L,BWR+2-TEE-L  (EACH),0,0,0,7,1,1,3,3,5,2,2,4,28,0.5,0,0,3
86,P2C,BWR+2-TEE-M,BWR+2-TEE-M  (EACH),0,3,0,6,0,2,0,0,3,0,2,4,20,0.4,3,7.8,3
