,Client,Product Code,Description,Jan-17,Dec-16,Nov-16,Oct-16,Sep-16,Aug-16,Jul-16,Jun-16,May-16,Apr-16,Mar-16,Feb-16,Total Out,Avg/Wk,Current SOH,Weeks Cover,Forecasted Values:
44,P2C,BASIC-MAR-L,Tall Tee - Maroon Size L (Each),65,138,0,0,1,24,31,26,14,30,23,10,362,7.0,99,14.2,204
45,P2C,BASIC-MAR-M,Tall Tee - Maroon Size M (Each),51,72,1,3,32,44,17,12,12,16,7,8,275,5.3,24,4.5,159
46,P2C,BASIC-MAR-S,Tall Tee - Maroon Size S (Each),0,26,18,4,8,7,3,4,3,1,0,3,77,1.5,0,0.0,0
47,P2C,BASIC-MAR-XL,Tall Tee - Maroon Size XL (Each),42,80,0,0,2,8,19,12,1,9,21,12,206,4.0,21,5.3,162
48,P2C,BASIC-MAR-XXL,Tall Tee - Maroon Size XXL (Each),13,67,0,1,0,10,15,17,0,0,0,0,123,2.4,32,13.5,88
49,P2C,BASIC-MAR-XXXL,Tall Tee - Maroon Size XXXL (Each),0,40,0,0,0,0,4,6,0,0,0,0,50,1.0,0,0.0,0
50,P2C,BASIC-NVY-L,Tall Tee - Navy Blue Size L (Each),133,148,0,0,0,40,15,13,9,24,26,10,418,8.0,3,0.4,133
51,P2C,BASIC-NVY-M,Tall Tee - Navy Blue Size M (Each),59,53,0,0,0,6,3,11,12,12,12,9,177,3.4,47,13.8,121
52,P2C,BASIC-NVY-S,Tall Tee - Navy Blue Size S (Each),0,0,0,0,0,0,0,0,0,1,1,3,5,0.1,0,0.0,15
53,P2C,BASIC-NVY-XL,Tall Tee - Navy Blue Size XL (Each),81,86,0,0,0,0,0,0,6,19,32,11,235,4.5,37,8.2,212
54,P2C,BASIC-NVY-XXL,Tall Tee - Navy Blue Size XXL (Each),21,70,0,0,0,0,0,0,0,0,0,1,92,1.8,0,0.0,135
55,P2C,BASIC-NVY-XXXL,Tall Tee - Navy Blue Size XXXL (Each),0,40,0,0,0,0,0,0,0,0,0,0,40,0.8,0,0.0,0
56,P2C,BASIC-PIN-L,Tall Tee - Pink Size L (Each),15,0,0,0,0,0,0,0,0,0,0,0,15,0.3,0,0.0,15
57,P2C,BASIC-PIN-M,Tall Tee - Pink Size M (Each),14,0,0,0,0,0,0,0,0,0,0,0,14,0.3,2,7.4,14
58,P2C,BASIC-PIN-XL,Tall Tee - Pink Size XL (Each),10,0,0,0,0,0,0,0,0,0,0,0,10,0.2,1,5.2,10
59,P2C,BASIC-PIN-XXL,Tall Tee - Pink Size XXL (Each),9,0,0,0,0,0,0,0,0,0,0,0,9,0.2,0,0.0,27
60,P2C,BASIC-STO-L,Tall Tee - Stone Size L (Each),4,80,0,0,0,0,0,0,0,0,0,0,84,1.6,0,0.0,4
61,P2C,BASIC-STO-M,Tall Tee - Stone Size M (Each),0,40,0,0,0,0,0,0,0,0,0,0,40,0.8,0,0.0,0
62,P2C,BASIC-STO-S,Tall Tee - Stone Size S (Each),0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,15
63,P2C,BASIC-STO-XL,Tall Tee - Stone Size XL (Each),1,41,0,0,0,0,0,0,0,0,0,0,42,0.8,0,0.0,1
64,P2C,BASIC-STO-XXL,Tall Tee - Stone Size XXL (Each),0,40,0,0,0,0,0,0,0,0,0,0,40,0.8,0,0.0,0
65,P2C,BASIC-WHI-L,Tall Tee - White Size L (Each),233,392,60,47,49,41,91,72,0,41,55,52,1133,21.8,21,1.0,915
66,P2C,BASIC-WHI-M,Tall Tee - White Size M (Each),142,234,49,47,5,89,67,60,0,23,42,32,790,15.2,22,1.4,542
67,P2C,BASIC-WHI-S,Tall Tee - White Size S (Each),44,44,4,0,0,4,24,13,0,0,1,1,135,2.6,6,2.3,44
68,P2C,BASIC-WHI-XL,Tall Tee - White Size XL (Each),143,223,44,11,42,65,52,55,0,16,34,43,728,14.0,41,2.9,508
69,P2C,BASIC-WHI-XXL,Tall Tee - White Size XXL (Each),16,79,20,20,27,44,28,34,0,0,0,0,268,5.2,33,6.4,108
70,P2C,BASIC-WHI-XXXL,Tall Tee - White Size XXXL (Each),9,15,0,0,0,0,2,9,0,0,0,0,35,0.7,0,0.0,9
71,P2C,BBQ-BLA-L,BBQ print - Black Size L (EACH),3,25,22,0,0,0,0,0,0,0,0,0,50,1.0,33,34.3,3
72,P2C,BBQ-BLA-M,BBQ print - Black Size M (EACH),3,17,12,0,0,0,0,0,0,0,0,0,32,0.6,17,27.6,3
73,P2C,BBQ-BLA-XL,BBQ print - Black Size XL (EACH),6,12,14,0,0,0,0,0,0,0,0,0,32,0.6,15,24.4,6
74,P2C,BBQ-BLA-XXL,BBQ print - Black Size XXL (EACH),4,3,11,0,0,0,0,0,0,0,0,0,18,0.3,4,11.6,9
75,P2C,BBQ-MUS-L,BBQ print - Muscle Tee Size L (EACH),4,2,0,0,0,0,0,0,0,0,0,0,6,0.1,28,242.7,4
76,P2C,BBQ-MUS-M,BBQ print - Muscle Tee Size M (EACH),10,5,0,0,0,0,0,0,0,0,0,0,15,0.3,6,20.8,10
77,P2C,BBQ-MUS-XL,BBQ print - Muscle Tee Size XL (EACH),6,2,0,0,0,0,0,0,0,0,0,0,8,0.2,11,71.5,6
78,P2C,BBQ-MUS-XXL,BBQ print - Muscle Tee Size XXL (EACH),8,0,0,0,0,0,0,0,0,0,0,0,8,0.2,1,6.5,12
79,P2C,BEANIE-GRA-PATCH,Grey Beanie (Each),0,0,0,1,10,69,21,0,0,0,0,0,101,1.9,0,0.0,15
80,P2C,BWR+2-TEE-L,BWR+2-TEE-L  (EACH),1,1,3,3,5,2,2,4,0,0,0,0,21,0.4,5,12.4,3
81,P2C,BWR+2-TEE-M,BWR+2-TEE-M  (EACH),0,2,0,0,3,0,2,4,0,0,0,0,11,0.2,8,37.8,3
82,P2C,BWR+2-TEE-S,BWR+2-TEE-S  (EACH),0,0,0,1,2,0,0,1,0,0,0,0,4,0.1,0,0.0,15
83,P2C,BWR+2-TEE-XL,BWR+2-TEE-XL  (EACH),2,6,2,0,3,0,4,3,0,0,0,0,20,0.4,0,0.0,12
84,P2C,BWR+2-TEE-XXL,BWR+2-TEE-XXL  (EACH),2,5,0,0,6,1,1,0,0,0,0,0,15,0.3,0,0.0,9
85,P2C,CASA-BLA-L,Casa Martini - Black Size L (Each),5,0,0,0,0,0,0,0,0,0,0,0,5,0.1,33,343.2,5
86,P2C,CASA-BLA-M,Casa Martini - Black Size M (Each),1,2,0,0,0,0,0,0,0,0,0,0,3,0.1,22,381.3,1
87,P2C,CASA-BLA-XL,Casa Martini - Black Size XL (Each),2,0,0,0,0,0,0,0,0,0,0,0,2,0.0,21,546.0,2
88,P2C,CASA-BLA-XXL,Casa Martini - Black Size XXL (Each),0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,17,,0
89,P2C,CASA-WHI-L,Casa Martini - White Size L (Each),4,1,0,0,0,0,0,0,0,0,0,0,5,0.1,42,436.8,4
90,P2C,CASA-WHI-M,Casa Martini - White Size M (Each),3,2,0,0,0,0,0,0,0,0,0,0,5,0.1,26,270.4,3
91,P2C,CASA-WHI-XL,Casa Martini - White Size XL (Each),5,0,0,0,0,0,0,0,0,0,0,0,5,0.1,11,114.4,5
92,P2C,CC-BLKWHT-L,Black White CC Tall Tee - Size L (Each),41,37,0,4,14,7,4,6,0,0,0,0,113,2.2,0,0.0,117
93,P2C,CC-BLKWHT-M,Black White CC Tall Tee - Size M (Each),26,19,0,0,8,7,6,3,0,0,0,0,69,1.3,1,0.8,26
94,P2C,CC-BLKWHT-S,Black White CC Tall Tee - Size S (Each),0,0,0,0,0,0,0,0,0,0,3,2,5,0.1,0,0.0,15
95,P2C,CC-BLKWHT-XL,Black White CC Tall Tee - Size XL (Each),6,32,0,7,5,4,5,4,0,0,0,0,63,1.2,1,0.8,6
96,P2C,CC-BLKWHT-XXL,Black White CC Tall Tee - Size XXL (Each),0,40,0,0,0,6,4,5,0,0,0,0,55,1.1,0,0.0,0
97,P2C,CC-BLUBLK-L,Blue Black CC Tall Tee - Size L (Each),0,1,11,10,4,2,2,5,2,3,2,0,42,0.8,0,0.0,3
98,P2C,CC-BLUBLK-M,Blue Black CC Tall Tee - Size M (Each),5,9,5,2,3,2,1,0,1,0,0,0,28,0.5,0,0.0,21
99,P2C,CC-BLUBLK-S,Blue Black CC Tall Tee - Size S (Each),0,0,1,0,1,0,0,0,1,1,0,1,5,0.1,0,0.0,15
100,P2C,CC-BLUBLK-XL,Blue Black CC Tall Tee - Size XL (Each),0,2,3,9,2,5,1,4,0,0,0,2,28,0.5,0,0.0,6
101,P2C,CC-BLUBLK-XXL,Blue Black CC Tall Tee - Size XXL (Each),0,0,0,2,5,6,1,1,0,0,0,0,15,0.3,0,0.0,15
102,P2C,CC-GREBLK-L,Grey Black CC Tall Tee - Size L (Each),6,81,3,7,3,5,7,7,0,0,0,0,119,2.3,1,0.4,6
103,P2C,CC-GREBLK-M,Grey Black CC Tall Tee - Size M (Each),0,41,0,1,1,7,9,6,0,0,0,0,65,1.3,0,0.0,0
104,P2C,CC-GREBLK-S,Grey Black CC Tall Tee - Size S (Each),0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,15
105,P2C,CC-GREBLK-XL,Grey Black CC Tall Tee - Size XL (Each),2,39,2,3,4,4,7,6,0,0,0,0,67,1.3,0,0.0,2
106,P2C,CC-GREBLK-XXL,Grey Black CC Tall Tee - Size XXL (Each),1,39,0,0,2,4,8,4,0,0,0,0,58,1.1,0,0.0,1
107,P2C,CREW-BLA-L,Crew Neck Black L (EACH),8,2,3,0,3,1,2,3,0,1,0,0,23,0.4,26,58.8,8
108,P2C,CREW-BLA-M,Crew Neck Black Size M (EACH),3,1,0,1,0,1,2,3,0,0,0,0,11,0.2,25,118.2,3
109,P2C,CREW-BLA-S,Crew Neck Black Size S (EACH),0,1,0,2,0,1,1,1,0,0,0,0,6,0.1,0,0.0,3
110,P2C,CREW-BLA-XL,Crew Neck Black XL (EACH),8,5,0,1,0,2,2,1,0,0,0,0,19,0.4,19,52.0,8
111,P2C,CREW-BLA-XXL,Crew Neck Black XXL (EACH),1,8,1,0,4,1,0,1,0,0,0,0,16,0.3,0,0.0,12
112,P2C,CREW-GRE-L,Crew Neck Grey L (EACH),5,6,2,1,3,12,1,4,0,0,0,0,34,0.7,17,26.0,5
113,P2C,CREW-GRE-M,Crew Neck Grey M (EACH),0,1,3,3,1,3,3,2,0,0,0,0,16,0.3,23,74.8,0
114,P2C,CREW-GRE-S,Crew Neck Grey S (EACH),0,0,0,0,1,2,2,1,0,0,0,0,6,0.1,0,0.0,15
115,P2C,CREW-GRE-XL,Crew Neck Grey XL (EACH),2,4,1,4,3,6,6,2,0,0,0,0,28,0.5,12,22.3,2
116,P2C,CREW-GRE-XXL,Crew Neck Grey XXL (EACH),1,2,0,3,0,1,1,1,0,0,0,0,9,0.2,6,34.7,3
117,P2C,CUBE-BLA-L,Green Cube Tee L (EACH),3,6,3,0,0,0,0,0,0,0,0,0,12,0.2,8,34.7,12
118,P2C,CUBE-BLA-M,Green Cube Tee M (EACH),0,0,5,0,0,0,0,0,0,0,0,0,5,0.1,8,83.2,24
119,P2C,CUBE-BLA-XL,Green Cube Tee Xl (EACH),1,3,0,0,0,0,0,0,0,0,0,0,4,0.1,10,130.0,1
120,P2C,CUBE-BLA-XXL,Green Cube Tee Xxl (EACH),1,3,2,0,0,0,0,0,0,0,0,0,6,0.1,3,26.0,6
121,P2C,GLOOSE-B-L,Getloose Tee - Black Size L (EACH),8,13,0,0,0,0,0,5,4,10,5,7,52,1.0,56,56.0,8
122,P2C,GLOOSE-B-M,Getloose Tee - Black Size M (EACH),1,11,0,0,0,0,0,6,7,3,2,5,35,0.7,27,40.1,1
123,P2C,GLOOSE-B-S,Getloose Tee - Black Size S (EACH),0,0,1,1,2,2,0,0,1,1,0,1,9,0.2,0,0.0,15
124,P2C,GLOOSE-B-XL,Getloose Tee - Black Size XL (EACH),5,8,0,0,0,0,1,4,4,5,3,5,35,0.7,27,40.1,5
125,P2C,GLOOSE-B-XXL,Getloose Tee - Black Size XXL (EACH),3,6,0,0,0,0,0,0,0,2,4,4,19,0.4,27,73.9,3
126,P2C,GREEN-JER-L,New Green Jersey Tee -  Size L (EACH),7,2,2,0,2,1,2,2,0,1,0,0,19,0.4,9,24.6,12
127,P2C,GREEN-JER-M,New Green Jersey Tee -  Size M (EACH),5,0,0,0,1,1,4,2,0,0,0,0,13,0.3,12,48.0,5
128,P2C,GREEN-JER-S,New Green Jersey Tee -  Size S (EACH),2,0,0,0,1,0,0,1,0,0,0,0,4,0.1,0,0.0,6
129,P2C,GREEN-JER-XL,New Green Jersey Tee -  Size XL (EACH),6,3,1,1,1,1,0,2,0,0,0,0,15,0.3,4,13.9,12
130,P2C,GREEN-JER-XXL,New Green Jersey Tee -  Size XXL (EACH),2,7,3,1,1,0,1,2,0,0,0,0,17,0.3,0,0.0,12
131,P2C,HOODBLACK,Hooded Poncho - Black (EACH),3,0,5,3,1,3,1,0,3,3,1,5,28,0.5,3,5.6,3
132,P2C,HOODBLUE,Hooded Poncho - Blue (EACH),2,3,5,4,4,4,4,1,0,0,0,4,31,0.6,17,28.5,2
133,P2C,HOODIE-BLA-L,Original Hoodie - Black Size L (Each),3,7,3,5,5,16,22,10,0,1,0,0,72,1.4,48,34.7,3
134,P2C,HOODIE-BLA-M,Original Hoodie - Black Size M (Each),5,9,3,5,5,17,25,8,0,0,0,0,77,1.5,18,12.2,5
135,P2C,HOODIE-BLA-S,Original Hoodie - Black Size S (Each),0,0,0,0,1,5,12,2,0,0,0,0,20,0.4,0,0.0,15
136,P2C,HOODIE-BLA-XL,Original Hoodie - Black Size XL (Each),4,7,3,3,7,12,16,8,0,0,0,0,60,1.2,55,47.7,4
137,P2C,HOODIE-BLA-XXL,Original Hoodie - Black Size XXL (Each),4,8,3,2,5,11,14,8,0,0,0,0,55,1.1,1,0.9,18
138,P2C,HOODIE-F-BLA-L,Hoodie - Black On Black Size L (EACH),0,0,0,0,1,0,16,11,0,0,0,0,28,0.5,0,0.0,15
139,P2C,HOODIE-F-BLA-M,Hoodie - Black On Black Size M (EACH),0,0,0,0,0,5,17,9,0,0,0,0,31,0.6,0,0.0,15
140,P2C,HOODIE-F-BLA-S,Hoodie - Black On Black Size S (EACH),0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,15
141,P2C,HOODIE-F-BLA-XL,Hoodie - Black On Black Size XL (EACH),0,0,1,0,0,0,12,11,0,0,0,0,24,0.5,0,0.0,15
142,P2C,HOODIE-F-BLA-XXL,Hoodie - Black On Black Size XXL (EACH),0,0,0,0,0,0,8,8,0,0,0,0,16,0.3,0,0.0,15
143,P2C,HOODIE-GRE-L,Hoodie - Grey Size L (EACH),2,4,2,1,7,10,18,14,0,1,0,0,59,1.1,33,29.1,2
144,P2C,HOODIE-GRE-M,Hoodie - Grey Size M (EACH),1,4,1,2,4,11,15,14,0,0,0,0,52,1.0,25,25.0,1
145,P2C,HOODIE-GRE-S,Hoodie - Grey Size S (EACH),0,0,0,1,0,6,5,3,0,0,0,0,15,0.3,2,6.9,6
146,P2C,HOODIE-GRE-XL,Hoodie - Grey Size XL (EACH),2,1,2,0,3,9,12,5,0,0,0,0,34,0.7,42,64.2,2
147,P2C,HOODIE-GRE-XXL,Hoodie - Grey Size XXL (EACH),3,4,0,3,2,8,9,3,0,0,0,0,32,0.6,16,26.0,3
148,P2C,HOODIE-GRE-XXXL,Hoodie - Grey Size XXXL (EACH),0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,15
149,P2C,HOODIE-MAR-L,Original Hoodie - Maroon Size L (Each),0,0,0,0,0,1,12,19,0,0,0,0,32,0.6,0,0.0,15
